铁血战士/终极战士：掠夺者(台)/铁血战士4/铁血战士新续集/铁血战士：血兽进化(港),The Predator/Predator 4,美国/加拿大,5.1/10 from 19621 users,一艘宇宙飞船坠落地球，正在执行军事任务的狙击手奎因&middot;麦肯纳（波伊德&middot;霍布鲁克 饰演）恰好遭遇外星人并发生激战，侥幸逃脱的他捡到了外星人的装备并寄回了家想再做他用。传说这种被称为铁血战士的外星人曾数次光临地球，使用各种残忍的手段对人类进行猎杀游戏。而这一次，奎因的儿子罗里收到包裹后意外触发机关，引来了更强大的终极铁血士降临地球。而想要阻止其大开杀戒的却是一群问题士兵和一位生物科学家凯茜&middot;布拉克（奥立薇娅&middot;玛恩 饰演）。事情却远不像他们以为的那样简单，一场铁血、终极铁血与人类之间的三方猎杀大战正式拉响！ ,ftp://ygdy8:ygdy8@yg45.dydytt.net:3157/阳光电影www.ygdy8.com.铁血战士.HD.720p.中英双字幕.mkv
House of The Rising Sons,兄弟班,中国香港/中国,5.9/10 from 639 users,这是一个对新鲜事物充满好奇的时代，和所有故事的开头一样，坏男孩变好的原因永远是女孩，为了喜欢的女孩，海边烧烤摊堂口老大阿力在母亲包租婆的支持下，带着他的兄弟阿健、阿强开始了自己的音乐之路，同街区的阿友、阿伦、阿B也被坑蒙拐骗拉进团队，他们在斗殴和训练中增长友谊，父母们的集体反对、路人、邻居们的嘲笑更是激起了他们的好胜心。 <br /><br />　　通过不懈努力终于从Loosers变成了Wynners，穷小子终于变成大明星，父母似乎也能理解这一切，但成员知名程度不一，资源分配不公等问题成为兄弟友情的最大考验，Wynners能否经受考验，保住兄弟真情谊&hellip;&hellip; ,ftp://ygdy8:ygdy8@yg45.dydytt.net:3156/阳光电影www.ygdy8.com.兄弟班.BD.720p.国粤双语中字.mkv
拯救圣诞记 / 圣诞大件事(港) / 圣诞急救队(台),The Christmas Chronicles,美国,7.1/10 from 156 users,充满佳节气氛的冒险片《圣诞急救队》由《小鬼当家》及《哈利&middot;波特》导演克里斯&middot;哥伦布监製，并由《愤怒的小鸟》导演克雷&middot;凯提斯执导。故事讲述凯特（妲比&middot;坎普饰）和泰迪（犹大&middot;路易斯饰）两兄妹原本打算在平安夜拿相机拍下圣诞老人（寇特&middot;罗素饰）到来的证据，却阴错阳差地踏上一段所有小孩梦寐以求的旅程。他们不单目睹圣诞老人驾临，还偷偷坐上他的雪橇、不小心把雪橇撞毁，最后竟差点搞砸了圣诞节。在这个疯狂的夜晚，凯特和泰迪得以见到了圣诞老人不为人知的一面，并和圣诞老人以及他忠心的小精灵携手合作，齐力挽救圣诞节。 ,ftp://ygdy8:ygdy8@yg45.dydytt.net:8359/阳光电影www.ygdy8.com.拯救圣诞记.BD.720p.中英双字幕.mkv
An Elephant Sitting Still,大象席地而坐/爱在樱花盛开时/金羊毛 导演剪辑版,中国,8.1/10 from 24552 users,满州里动物园有一头大象，每天坐在那里。为朋友出头的少年、为弟报仇的恶霸哥哥、身陷囹圄的女生，卡在世界灰暗的缝隙里无法脱身，却挣扎着去看大象。萧瑟寒冬的一天，绝望身影在不对称不平衡的影像中碰撞， 爆裂了压抑的沉郁，在粗糙布景、朦胧灯光的低成本制作中肆意蔓延。作者兼导演胡波 （笔名胡迁）首作，以青涩朴质与震撼感性，获柏林影展赏识入围论坛单元， 却是无法嵌合和谐主旋律的一块失落拼图。看不见大象是共同宿命，胡波骤然陨落，也成了这一代人的遗憾。 <br /><br />◎获奖情况 <br /><br />　　第68届柏林国际电影节(2018) <br />　　最佳处女作奖 特别提及 胡波 <br />　　最佳处女作奖(提名) 胡波 <br />　　费比西奖（国际影评人联盟奖） 论坛及新电影论坛最佳影片 胡波 <br /><br />　　第55届台北金马影展(2018) <br />　　金马奖 最佳剧情片 <br />　　金马奖 最佳男主角(提名) 彭昱畅 <br />　　金马奖 最佳改编剧本 胡波 <br />　　金马奖 最佳新导演(提名) 胡波 <br />　　金马奖 最佳摄影(提名) 范超 <br />　　金马奖 最佳原创配乐(提名) <br />　　观众票选最佳影片 <br /><br />　　第42届香港国际电影节(2018) <br />　　观众票选大奖 胡波 ,ftp://ygdy8:ygdy8@yg45.dydytt.net:4103/阳光电影www.ygdy8.com.大象席地而坐导演剪辑版.HD.720p.国语中字.mkv
网络谜踪/人肉搜寻(港)/人肉搜索(台)/屏幕搜索/搜索,Searching,美国/俄罗斯,8.5/10 from 92860 users,故事发生在北加州的圣荷西，玛格（米切尔&middot;拉 Michelle La 饰）成长在一个幸福的家庭之中，父亲金（约翰&middot;赵 John Cho 饰）和母亲帕尔马（萨拉&middot;米博&middot;索恩 Sara Mibo Sohn 饰）非常的恩爱，他们用摄像机记录了玛格成长的一点一滴，在女儿的身上，两人可谓倾注了全部的心血。然而，不幸就这样降临了，帕尔马患上了癌症，虽然全家人合力同病魔抗争，但最终帕尔马还是未能战胜病魔。 <br /><br />　　母亲去世了，全家的重担都落在了金的身上，坚强的他独自将女儿抚养长大，虽然玛格非常的听话懂事，但随着时间的推移，金还是渐渐感受到了和女儿之间的隔阂。一天，玛格在放学后没有按时回家，直到第二天早晨也毫无音信。 <br /><br />◎获奖情况 <br /><br />　　第34届美国独立精神奖(2019) <br />　　最佳男主角(提名) 约翰&middot;赵 ,ftp://ygdy8:ygdy8@yg45.dydytt.net:3155/阳光电影www.ygdy8.com.网络谜踪.BD.720p.中英双字幕.mkv
The Island,一出好戏/大富翁/诳想曲,中国,"7.3/10 from 275,024 users",马进欠下债务，与远房表弟小兴在底层社会摸爬滚打，习惯性的买彩票，企图一夜暴富，并迎娶自己的同事姗姗。一日，公司全体员工出海团建，途中，马进收到了彩票中头奖的信息，六千万！就在马进狂喜自己翻身的日子终于到来之际，一场突如其来的滔天巨浪打破了一切。苏醒过来的众人发现身处荒岛 ，丧失了一切与外界的联系&hellip;&hellip; ,ftp://ygdy8:ygdy8@yg72.dydytt.net:8302/阳光电影www.ygdy8.com.一出好戏.BD.720p.国语中字.mkv
一个明星的诞生 / 一个巨星的诞生(台) / 星梦情深(港),A Star Is Born,美国,7.3/10 from 8957 users,在这个全新诠释的悲剧爱情故事中，乡村音乐家杰克&middot;梅恩（布莱德利&middot;库珀 饰）发掘了正在努力熬出头的服务员艾莉（Lady Gaga 饰），当时她正要放弃成为歌手的梦想时，杰克说动她进入演艺界，也在共事的过程中爱上她。不久艾莉的事业起飞，但杰克却克服不了他由来已久的心魔，使两人的关系开始崩裂&hellip;&hellip; <br /><br />　　本片是布莱德利&middot;库珀生平第一次自编、自导、自演，并担任制片，挑战从来没有尝试过的现场演唱与音乐创作的电影。也是Lady Gaga首次挑战大银幕。其在影片中演唱的这些歌曲是由她跟布莱德利&middot;库珀，还有几位艺人一起创作的。所有音乐都是原创和现场录音。 <br /><br />◎获奖情况 <br /><br />　　第22届好莱坞电影奖(2018) <br />　　年度摄影奖 马修&middot;利巴提克 ,ftp://ygdy8:ygdy8@yg45.dydytt.net:4102/阳光电影www.ygdy8.com.一个明星的诞生.HD.720p.韩版中英双字幕.mkv
Hidden Man,邪不压正/侠隐,中国,7.2/10 from 244586 users,七七事变前夕，华裔青年小亨德勒（彭于晏 饰）从美国远赴重洋，回到阔别十数年之久的北平从医。然而他真正的名字叫李天然，十三岁那年曾亲眼目睹师父一家遭师兄朱潜龙（廖凡 饰）和日本人根本一郎（泽田谦也 饰）灭门。侥幸逃生的天然被美国人亨德勒医生送往大洋彼岸，接受了极其严苛的训练，而今他怀着绝密的任务踏上故土。亨德勒父子租住神秘男子蓝青峰（姜文 饰）的宅子，蓝是当年辛亥革命的参与者，他与现为警察局长的朱潜龙过从甚密，却又以杀死李天然为筹码，暗中怂恿朱除掉根本一郎。复仇心切的李天然寻找到了仇人，而亨德勒医生则全力阻止养子冒险。在这一过程中，交际花唐凤仪（许晴 饰）与裁缝关巧红（周韵 饰）也卷入了男人的勾心斗角的漩涡里。直到七七事变爆发，所有的矛盾迎来了决断的时刻&hellip;&hellip; <br />本片根据张北海的小说《侠隐》改编。 <br /><br />◎获奖情况 <br /><br />　　第55届台北金马影展(2018) <br />　　金马奖 最佳导演(提名) 姜文 <br />　　金马奖 最佳女配角(提名) 许晴 <br />　　金马奖 最佳美术设计(提名) 柳青 <br />　　金马奖 最佳造型设计(提名) 张叔平/董仲民/王汁 <br />　　金马奖 最佳动作设计 何钧/谷垣健治/严华 <br />　　金马奖 最佳视觉效果(提名) 王绍帅/杨月娟 ,ftp://ygdy8:ygdy8@yg45.dydytt.net:3154/阳光电影www.ygdy8.com.邪不压正.HD.1080p.国语中字.mp4
薄荷/薄荷杀手/薄荷殺姬(港)/血薄荷(台),Peppermint,美国,6.2/10 from 192 users,故事聚焦在一位母亲的身上。一次在外游玩的过程中，她的孩子和丈夫被黑帮悉数杀害。原本遵纪守法的她希望借助于法律的力量制裁这些罪犯，但整个城市的警察和司法系统已经完全腐败。最后，这位失去一切的母亲，只好自己拿起了枪和武器，展开了复仇。 ,ftp://ygdy8:ygdy8@yg90.dydytt.net:8421/阳光电影www.ygdy8.com.薄荷杀手.BD.720p.中英双字幕.mkv
L Storm,反贪风暴3/L风暴,中国香港,5.8/10 from 22378 users,"ICAC (廉政公署) 陆志廉（古天乐 饰），JFIU (联合财富情报组) 刘保强（张智霖 饰）分别侦查贪污及洗黑钱案，但苦无线索，这时廉政公署L组 (内部纪律调查组) 程德明（郑嘉颖 饰）收到Eva（邓丽欣 饰）举报，指陆志廉收贿1,200万，陆无法辩解即时停职。 <br /><br />刘发现陆被诬陷，并跟一直调查的洗黑钱案有着千丝万缕关系，同时怀疑银行主任游子新（栢天男 饰）协助犯罪集团首脑王海禾（谭耀文 饰）洗黑钱；中国反贪局侦查处处长洪亮（丁海峰 饰）来港，给刘保强提供了重要情报，原来洗黑钱案牵涉内地贪腐官员，陆港合力打击贪腐；陆亦冒险搜集罪证却遭禁锢，命悬一线&hellip;&hellip; ",ftp://ygdy8:ygdy8@yg45.dydytt.net:8358/阳光电影www.ygdy8.com.反贪风暴3.BD.720p.国粤双语中字.mkv
